text,priority
My refund was processed and I just have a question about it,LOW
The order arrived but I want to know how to return it,LOW
I just have a question about my return,LOW
I want to know the status of my replacement,LOW
How do I return an item that does not fit?,LOW
Can you tell me the estimated delivery time for my area?,LOW
I would like to check if my order was dispatched,LOW
What is your return policy for shoes?,LOW
Just wondering when the festive sale ends,LOW
Can I change my delivery address to my office?,LOW
How do I download the invoice for my order?,LOW
Checking if the linen trousers are available in size 34,LOW
I wanted to know if exchange is possible for a different color,LOW
Is standard delivery free on all orders?,LOW
Just checking if my return request was received,LOW
How long does a return inspection usually take?,LOW
Can I track my courier using my phone number?,LOW
I have a quick query regarding my loyalty points,LOW
Does the cotton shirt come with washing instructions?,LOW
Just wanted to ask if you deliver on Sundays,LOW
What payment options are available for checkout?,LOW
Could you please confirm the date of return collection?,LOW
I am inquiring about the fabric details of this jacket,LOW
Where can I find the size chart for running shoes?,LOW
Just checking on the progress of my return parcel,LOW
Is it possible to add a gift note to the order?,LOW
Can I cancel my subscription anytime?,LOW
What are the store hours for customer assistance?,LOW
I want to know if my payment was received properly,LOW
Just checking the delivery window for tomorrow,LOW
Do you accept returns without the original outer bag?,LOW
Can I use multiple promo codes on one purchase?,LOW
Just curious how the reverse pickup process works,LOW
Please let me know if my size exchange request was noted,LOW
What is the warranty period on FitResQ backpacks?,LOW
I would like to check if my feedback was submitted,LOW
How do I update my registered mobile number?,LOW
Just checking if there are any updates on order ORD-1200,LOW
Can I get a duplicate receipt for my recent purchase?,LOW
Is pickup available from my apartment building?,LOW
I have a small question regarding the return shipping label,LOW
Checking to see if my order has been packed yet,LOW
What is the difference between regular and relaxed fit?,LOW
Just asking if my account profile is active,LOW
Could you tell me how many days returns are accepted?,LOW
I want to check if international shipping is supported,LOW
Inquiring about the return status of my beige pants,LOW
Can you clarify if the refund goes to bank or wallet?,LOW
Just wanted to see if the courier partner has been assigned,LOW
How do I check my order history on the app?,LOW
Could you provide information on the material of the cardigan?,LOW
Just checking if my cancellation went through,LOW
Are returns processed on public holidays?,LOW
I would like to know the dispatch timeline for accessories,LOW
Can I request a paper invoice with my delivery?,LOW
Just checking whether size 42 is in stock,LOW
How do I apply store credit during checkout?,LOW
Is there an option to leave package with the security guard?,LOW
