text,intent
Please cancel my order,CANCELLATION_REQUEST
I want to cancel order ORD-7821 immediately.,CANCELLATION_REQUEST
Can I cancel my purchase before it is shipped?,CANCELLATION_REQUEST
Need to cancel my order placed an hour ago.,CANCELLATION_REQUEST
Cancel order ORD-3901 as I changed my mind.,CANCELLATION_REQUEST
"I made a mistake in the order, please cancel it.",CANCELLATION_REQUEST
"Please cancel my shipment, I no longer need these clothes.",CANCELLATION_REQUEST
How can I stop my order from being delivered?,CANCELLATION_REQUEST
Cancel my recent order right away.,CANCELLATION_REQUEST
"I ordered the wrong size by accident, please cancel.",CANCELLATION_REQUEST
Is it possible to revoke my order before dispatch?,CANCELLATION_REQUEST
"Cancel my order please, bought it by mistake.",CANCELLATION_REQUEST
Kindly cancel order ORD-9912 for me.,CANCELLATION_REQUEST
I want to cancel the entire order.,CANCELLATION_REQUEST
Please revoke order ORD-2831.,CANCELLATION_REQUEST
Cancel my shopping cart order immediately.,CANCELLATION_REQUEST
I need to cancel order ORD-4412 as I found it cheaper elsewhere.,CANCELLATION_REQUEST
Please cancel delivery for my order ORD-6721.,CANCELLATION_REQUEST
Can support please cancel my order?,CANCELLATION_REQUEST
"I do not want this item anymore, please cancel.",CANCELLATION_REQUEST
Stop my shipment and cancel the order.,CANCELLATION_REQUEST
Abort the order ORD-1982 please.,CANCELLATION_REQUEST
Cancel my purchase before the warehouse packs it.,CANCELLATION_REQUEST
I want to cancel the order I placed this morning.,CANCELLATION_REQUEST
Please cancel my active order right now.,CANCELLATION_REQUEST
"Accidentally placed duplicate order, cancel the second one.",CANCELLATION_REQUEST
Cancel order ORD-5819 please.,CANCELLATION_REQUEST
I need this order cancelled as soon as possible.,CANCELLATION_REQUEST
Please terminate order ORD-3312.,CANCELLATION_REQUEST
Can someone cancel my pending order?,CANCELLATION_REQUEST
I request immediate cancellation of my order.,CANCELLATION_REQUEST
Cancel my delivery please.,CANCELLATION_REQUEST
Please cancel order ORD-7741.,CANCELLATION_REQUEST
I want to call off this order.,CANCELLATION_REQUEST
"Please cancel this purchase, delivery is taking too long.",CANCELLATION_REQUEST
Drop my order ORD-6129 please.,CANCELLATION_REQUEST
Cancel order ORD-8812 before shipping.,CANCELLATION_REQUEST
I want to withdraw my order.,CANCELLATION_REQUEST
Please cancel order ORD-1428.,CANCELLATION_REQUEST
Cancel the shoes in order ORD-5519.,CANCELLATION_REQUEST
I would like to cancel my order ORD-9012.,CANCELLATION_REQUEST
Cancel this order before it leaves the warehouse.,CANCELLATION_REQUEST
Please cancel order ORD-2341 immediately.,CANCELLATION_REQUEST
I wish to cancel my purchase ORD-8871.,CANCELLATION_REQUEST
Cancel my order and do not ship it.,CANCELLATION_REQUEST
Need to cancel order ORD-4491 right now.,CANCELLATION_REQUEST
Please cancel my checkout order.,CANCELLATION_REQUEST
I am requesting a cancellation for order ORD-6621.,CANCELLATION_REQUEST
Cancel order ORD-3192 please.,CANCELLATION_REQUEST
Can I cancel the order I just submitted?,CANCELLATION_REQUEST
The shoes I received are damaged,DAMAGED_ITEM
My shirt arrived with a big tear on the sleeve.,DAMAGED_ITEM
The package was crushed and the contents are broken.,DAMAGED_ITEM
Received a defective product in order ORD-8921.,DAMAGED_ITEM
The zipper on this jacket is completely broken.,DAMAGED_ITEM
There is a deep tear on the trousers I just unpacked.,DAMAGED_ITEM
The item has stitching defects and loose threads everywhere.,DAMAGED_ITEM
My sneakers arrived with torn soles.,DAMAGED_ITEM
The fabric of this cardigan is ripped near the pocket.,DAMAGED_ITEM
Package arrived soaking wet and the clothes are stained.,DAMAGED_ITEM
The handbag strap snapped on the first day.,DAMAGED_ITEM
Goods received in damaged condition.,DAMAGED_ITEM
Defective stitching on the shirt collar.,DAMAGED_ITEM
The blazer arrived with broken buttons.,DAMAGED_ITEM
Product was damaged during transit.,DAMAGED_ITEM
Torn seam along the side of the trousers.,DAMAGED_ITEM
Sole of the shoe is peeling off.,DAMAGED_ITEM
The package was torn open and items are scuffed.,DAMAGED_ITEM
The t-shirt has grease stains and fabric defects.,DAMAGED_ITEM
Delivered item is clearly broken and unusable.,DAMAGED_ITEM
The leather on the handbag is badly scratched.,DAMAGED_ITEM
"Received a ruined product, fabric has holes.",DAMAGED_ITEM
"The item is damaged, collar seam is ripped apart.",DAMAGED_ITEM
My apparel arrived with broken zip and loose seams.,DAMAGED_ITEM
The fabric looks shredded near the hem.,DAMAGED_ITEM
The shoe upper has deep scuffs and cracks.,DAMAGED_ITEM
Damaged garment delivered in order ORD-4182.,DAMAGED_ITEM
The box arrived smashed and the apparel inside is damaged.,DAMAGED_ITEM
The buttonholes are torn and unusable.,DAMAGED_ITEM
Stains and tears all over the shirt.,DAMAGED_ITEM
This cardigan arrived damaged with fraying wool.,DAMAGED_ITEM
The item has a manufacturing defect on the waist.,DAMAGED_ITEM
Broken buckle on the leather belt I ordered.,DAMAGED_ITEM
The sleeve is torn and hem is frayed.,DAMAGED_ITEM
"Damaged goods received, please replace or refund.",DAMAGED_ITEM
Product came damaged out of the packaging.,DAMAGED_ITEM
Torn knee on the linen trousers.,DAMAGED_ITEM
The handbag arrived with a broken zipper track.,DAMAGED_ITEM
Defective shoes with unglued soles.,DAMAGED_ITEM
The shirt is discolored and damaged.,DAMAGED_ITEM
Apparel delivered in defective state.,DAMAGED_ITEM
The package was crushed and shoe box was destroyed.,DAMAGED_ITEM
Defective seam on the trousers delivered yesterday.,DAMAGED_ITEM
The jacket has a broken snap button.,DAMAGED_ITEM
Received a heavily damaged shirt.,DAMAGED_ITEM
Torn stitching on the back seam.,DAMAGED_ITEM
Item damaged beyond repair upon unboxing.,DAMAGED_ITEM
The fabric has pulled threads and small tears.,DAMAGED_ITEM
Delivered product is damaged and dirty.,DAMAGED_ITEM
Item received with severe defect.,DAMAGED_ITEM
My order hasn't arrived,ORDER_NOT_RECEIVED
I have not received my shipment yet.,ORDER_NOT_RECEIVED
Tracking says delivered but I never received my parcel.,ORDER_NOT_RECEIVED
My package was supposed to arrive yesterday but nothing came.,ORDER_NOT_RECEIVED
"Order ORD-9128 is severely delayed, where is my package?",ORDER_NOT_RECEIVED
Courier claims delivered but my mailbox and porch are empty.,ORDER_NOT_RECEIVED
It has been 10 days and my package hasn't shown up.,ORDER_NOT_RECEIVED
Package not received even though status says completed.,ORDER_NOT_RECEIVED
I never got my delivery for order ORD-4192.,ORDER_NOT_RECEIVED
Where is my parcel? Delivery was due last week.,ORDER_NOT_RECEIVED
Order not received at my address.,ORDER_NOT_RECEIVED
The delivery driver marked it delivered but I was home and no one came.,ORDER_NOT_RECEIVED
Still waiting for my package to arrive.,ORDER_NOT_RECEIVED
"Shipment is missing, never received order ORD-7712.",ORDER_NOT_RECEIVED
"My order is lost in transit, it hasn't arrived.",ORDER_NOT_RECEIVED
Never received the apparel I bought two weeks ago.,ORDER_NOT_RECEIVED
Tracking says handed to customer but I didn't get anything.,ORDER_NOT_RECEIVED
Delivery overdue by 5 days and no package.,ORDER_NOT_RECEIVED
Where is my package? The courier never showed up.,ORDER_NOT_RECEIVED
I am still waiting on my delivery for order ORD-3819.,ORDER_NOT_RECEIVED
Package did not arrive on the promised date.,ORDER_NOT_RECEIVED
My order hasn't been delivered yet.,ORDER_NOT_RECEIVED
The courier failed to deliver my parcel.,ORDER_NOT_RECEIVED
Order status says delivered but parcel is missing.,ORDER_NOT_RECEIVED
I haven't received my items from order ORD-5129.,ORDER_NOT_RECEIVED
Package is over a week late and hasn't arrived.,ORDER_NOT_RECEIVED
I never got order ORD-6612.,ORDER_NOT_RECEIVED
Delivery boy did not come to my flat.,ORDER_NOT_RECEIVED
My shipment has not arrived at all.,ORDER_NOT_RECEIVED
Status says delivered to neighbor but no one has it.,ORDER_NOT_RECEIVED
Still waiting for my clothes to arrive.,ORDER_NOT_RECEIVED
The package never reached my doorstep.,ORDER_NOT_RECEIVED
Missing delivery for order ORD-8819.,ORDER_NOT_RECEIVED
Where has my delivery gone? It hasn't arrived.,ORDER_NOT_RECEIVED
Parcel was never delivered.,ORDER_NOT_RECEIVED
I didn't receive the order ORD-2219.,ORDER_NOT_RECEIVED
Delivery is past due date and parcel not received.,ORDER_NOT_RECEIVED
My items never arrived.,ORDER_NOT_RECEIVED
Order ORD-4712 never showed up.,ORDER_NOT_RECEIVED
"Shipment seems lost, haven't received it.",ORDER_NOT_RECEIVED
The courier did not deliver the parcel to me.,ORDER_NOT_RECEIVED
No delivery received for order ORD-9931.,ORDER_NOT_RECEIVED
I have been waiting for two weeks and parcel hasn't arrived.,ORDER_NOT_RECEIVED
Package never arrived at my apartment.,ORDER_NOT_RECEIVED
Still haven't received order ORD-1829.,ORDER_NOT_RECEIVED
Order not delivered to my address.,ORDER_NOT_RECEIVED
My shipment never showed up.,ORDER_NOT_RECEIVED
Tracking has been stuck on out for delivery for 4 days.,ORDER_NOT_RECEIVED
Did not receive my package ORD-7192.,ORDER_NOT_RECEIVED
The delivery has not arrived.,ORDER_NOT_RECEIVED
My payment failed but money was deducted,PAYMENT_FAILED
Money was deducted from my account but order was not placed.,PAYMENT_FAILED
The payment gateway timed out and my card was charged.,PAYMENT_FAILED
Payment debited twice for order ORD-4129.,PAYMENT_FAILED
UPI payment went through but app says transaction failed.,PAYMENT_FAILED
Bank debited Rs 2499 but cart still shows pending.,PAYMENT_FAILED
Double charge on my credit card for one order.,PAYMENT_FAILED
Transaction failed at bank switch but money left my account.,PAYMENT_FAILED
Payment error occurred during checkout but amount was debited.,PAYMENT_FAILED
Net banking debited my account without generating order confirmation.,PAYMENT_FAILED
Why was I charged twice for order ORD-8812?,PAYMENT_FAILED
Payment failure message shown but SMS says bank debited.,PAYMENT_FAILED
My account was charged but no order number generated.,PAYMENT_FAILED
UPI transaction successful on phone but FitResQ says failed.,PAYMENT_FAILED
Double billing on my credit card for order ORD-3192.,PAYMENT_FAILED
Checkout payment timed out and money was deducted.,PAYMENT_FAILED
Bank charged my debit card but checkout errored.,PAYMENT_FAILED
My money got deducted during payment failure.,PAYMENT_FAILED
Payment failed message appeared after OTP entered and money cut.,PAYMENT_FAILED
Charged twice for the same pair of shoes.,PAYMENT_FAILED
Card charged twice for order ORD-7128.,PAYMENT_FAILED
Amount deducted from Google Pay but order failed.,PAYMENT_FAILED
Payment debited from bank but showing failed on website.,PAYMENT_FAILED
I was billed two times for order ORD-5512.,PAYMENT_FAILED
Money was deducted from my savings account on failed transaction.,PAYMENT_FAILED
Bank account debited but payment status says unsuccessful.,PAYMENT_FAILED
The payment gateway failed after taking my money.,PAYMENT_FAILED
Dual charge on my card for single purchase.,PAYMENT_FAILED
Payment timeout led to money deduction without order.,PAYMENT_FAILED
Why did money get deducted if checkout failed?,PAYMENT_FAILED
Amount debited twice from my UPI handle.,PAYMENT_FAILED
Payment gateway error charged my account.,PAYMENT_FAILED
Money cut from Paytm wallet but transaction failed.,PAYMENT_FAILED
Card charged but system displayed payment failure.,PAYMENT_FAILED
Bank deducted funds but order was not booked.,PAYMENT_FAILED
Two charges on my credit card for order ORD-9182.,PAYMENT_FAILED
Payment dropped midway but account was debited.,PAYMENT_FAILED
Money left my account on a failed checkout.,PAYMENT_FAILED
Multiple debits for a single order.,PAYMENT_FAILED
Checkout failed but funds were withdrawn.,PAYMENT_FAILED
UPI charged me but app shows transaction error.,PAYMENT_FAILED
Bank statement shows debit but order did not go through.,PAYMENT_FAILED
Payment processing failed after debit.,PAYMENT_FAILED
Why was I charged twice for this purchase?,PAYMENT_FAILED
Money deducted from debit card without invoice generated.,PAYMENT_FAILED
Payment switch failed but money debited.,PAYMENT_FAILED
Duplicate transaction charged to my account.,PAYMENT_FAILED
My account balance reduced but order failed.,PAYMENT_FAILED
Payment deducted on error page.,PAYMENT_FAILED
Transaction timed out and money debited.,PAYMENT_FAILED
My refund hasn't arrived yet,REFUND_DELAY
Where has my refund gone? It has been over a week.,REFUND_DELAY
I returned the item 10 days ago but no refund received.,REFUND_DELAY
When will the refund money be credited to my bank account?,REFUND_DELAY
Still waiting for my refund on my return.,REFUND_DELAY
The app says refund processed 5 days ago but nothing in my account.,REFUND_DELAY
Why is my refund settlement taking so long?,REFUND_DELAY
I was promised my refund within 48 hours but nothing yet.,REFUND_DELAY
My bank says they haven't received any refund from FitResQ.,REFUND_DELAY
Can you check why my refund payout is delayed?,REFUND_DELAY
"It has been two weeks since pickup, still waiting for the refund.",REFUND_DELAY
Refund is overdue for my returned linen trousers.,REFUND_DELAY
Still haven't gotten the money back for my returned shoes.,REFUND_DELAY
How much longer do I have to wait for my refund credit?,REFUND_DELAY
My return was accepted last Monday but refund is still pending.,REFUND_DELAY
The refund timeline has passed and I haven't received my cash.,REFUND_DELAY
I am still waiting on my refund of Rs 1899.,REFUND_DELAY
Where is the refund amount? It's been 12 days.,REFUND_DELAY
Please expedite my pending refund payout.,REFUND_DELAY
Refund status says initiated but amount not credited to my UPI.,REFUND_DELAY
When can I expect the refund transfer into my bank?,REFUND_DELAY
"I returned the jacket over two weeks ago, still no refund.",REFUND_DELAY
My refund is severely delayed and I need an update.,REFUND_DELAY
Still no sign of the refund amount in my savings account.,REFUND_DELAY
Can you check the status of my refund?,REFUND_DELAY
Check the status of my refund please.,REFUND_DELAY
What is the current status of my refund payout?,REFUND_DELAY
Status of my refund is taking too long to update.,REFUND_DELAY
"Return package was verified 6 days ago, where is my refund payout?",REFUND_DELAY
Why is my refund not credited to my card yet?,REFUND_DELAY
Can you check the status of my pending refund?,REFUND_DELAY
Why hasn't my money been refunded yet?,REFUND_DELAY
Still waiting on my refund for the returned items.,REFUND_DELAY
When will I see the refund credited in my account?,REFUND_DELAY
My refund seems to be taking too long to process.,REFUND_DELAY
The refund has been pending for over 7 business days.,REFUND_DELAY
I have not received my refund settlement.,REFUND_DELAY
Check on my pending refund please.,REFUND_DELAY
Why is my refund still showing processing after a week?,REFUND_DELAY
Amount has not been refunded to my UPI account yet.,REFUND_DELAY
Still awaiting refund credit for my returned shirt.,REFUND_DELAY
Where is my money? The refund has not arrived.,REFUND_DELAY
Can support check why my refund has not been disbursed?,REFUND_DELAY
I haven't received the refund for my return.,REFUND_DELAY
The refund period is over and money has not reached my bank.,REFUND_DELAY
Why is my refund transfer delayed?,REFUND_DELAY
Still waiting for the refund on my cancelled purchase.,REFUND_DELAY
Can you tell me why my refund is taking so many days?,REFUND_DELAY
No refund received after returning the product.,REFUND_DELAY
My refund is delayed past the promised window.,REFUND_DELAY
Why haven't I gotten my money refunded?,REFUND_DELAY
Waiting for my refund payout since last week.,REFUND_DELAY
The refund amount has not shown up in my bank.,REFUND_DELAY
Please look into my delayed refund settlement.,REFUND_DELAY
My refund was rejected,REFUND_FAILED
The refund transaction failed according to my bank statement.,REFUND_FAILED
Why was my refund request rejected by the system?,REFUND_FAILED
Refund failed due to expired credit card.,REFUND_FAILED
System says refund failed to credit to UPI.,REFUND_FAILED
My refund bounced back to the merchant.,REFUND_FAILED
Received notification that refund transfer failed.,REFUND_FAILED
The bank rejected the refund due to invalid account details.,REFUND_FAILED
Refund failed message shown in my support ticket.,REFUND_FAILED
Why did my refund transaction fail at the payment gateway?,REFUND_FAILED
My refund was declined by the banking switch.,REFUND_FAILED
The app displays refund status as FAILED.,REFUND_FAILED
My bank rejected the incoming refund credit.,REFUND_FAILED
Refund attempt failed due to server timeout.,REFUND_FAILED
Why was my refund marked as failed?,REFUND_FAILED
Refund could not be processed to my debit card.,REFUND_FAILED
The payout gateway rejected my refund.,REFUND_FAILED
Refund failed because UPI ID is inactive.,REFUND_FAILED
